customer_id,contract_id,service_plan,contract_start_date,contract_end_date,billing_cycle,contract_value,mrr,contract_status,upgrade_downgrade_flag,upgrade_date,sales_owner
CUST1062,CTR62,VAT,2025-06-02,2026-08-04,Annual,22146,3691,Won,None,2025-12-02,Mehul
CUST1063,CTR63,VAT,2025-05-13,2025-12-25,Monthly,72896,4556,Won,None,2025-12-21,Rohit
CUST1064,CTR64,VAT,2025-12-25,2026-10-21,Monthly,10728,894,Won,None,2025-12-07,Sara
CUST1065,CTR65,VAT,2025-10-21,2026-11-18,Monthly,45162,3474,Won,None,2025-12-27,Rohit
CUST1066,CTR66,VAT,2024-08-29,2025-10-21,Monthly,22040,2755,Cancelled,None,2025-11-09,Mehul
CUST1067,CTR67,VAT,2025-04-25,2025-12-16,Monthly,17523,1593,Won,None,2025-11-25,Rohit
CUST1068,CTR68,VAT,2025-05-18,2026-10-29,Quarterly,18438,2634,Won,None,2025-10-06,Sara
CUST1069,CTR69,Bookkeeping,2024-08-02,2025-05-15,Quarterly,34992,2916,Won,None,2026-01-25,Rohit
CUST1070,CTR70,Corporate Tax,2025-07-13,2026-02-25,Monthly,63778,4906,Won,None,2025-12-09,Sara
CUST1071,CTR71,VAT,2025-07-19,2027-08-10,Monthly,45375,4125,Won,Downgrade,2026-01-31,Rohit
CUST1072,CTR72,VAT,2025-07-17,2026-12-15,Monthly,40909,3719,Won,None,2025-12-19,Sara
CUST1073,CTR73,VAT,2024-12-06,2025-06-29,Quarterly,33970,3397,Won,None,2025-12-18,Sara
CUST1074,CTR74,VAT,2025-06-23,2026-09-02,Monthly,52065,4005,Won,None,2025-10-18,Rohit
CUST1075,CTR75,VAT,2024-08-04,2025-02-07,Monthly,9684,1614,Cancelled,Upgrade,2025-12-16,Mehul
CUST1076,CTR76,VAT,2025-12-05,2028-02-17,Annual,17175,1145,Won,None,2026-01-19,Ali
CUST1077,CTR77,Corporate Tax,2025-07-22,2026-09-27,Monthly,28341,3149,Won,None,2025-10-05,Mehul
CUST1078,CTR78,Corporate Tax,2024-11-07,2027-03-28,Annual,10458,1162,Cancelled,Downgrade,2026-01-10,Rohit
CUST1079,CTR79,VAT,2025-01-29,2027-07-16,Monthly,25944,3243,Cancelled,Downgrade,2025-10-06,Mehul
CUST1080,CTR80,Corporate Tax,2024-08-25,2025-12-20,Monthly,24520,3065,Won,None,2026-01-11,Sara
CUST1081,CTR81,Bookkeeping,2025-01-03,2027-04-01,Quarterly,26892,2988,Won,Downgrade,2025-11-07,Ali
CUST1082,CTR82,VAT,2025-01-26,2025-09-18,Quarterly,60880,3805,Won,None,2025-11-01,Rohit
CUST1083,CTR83,Bookkeeping,2024-08-21,2026-07-27,Annual,24486,4081,Won,None,2026-01-23,Rohit
CUST1084,CTR84,Bookkeeping,2024-08-10,2026-05-25,Monthly,28544,1784,Won,Downgrade,2026-01-06,Rohit
CUST1085,CTR85,VAT,2025-02-10,2025-09-05,Monthly,39024,2439,Won,None,2026-01-23,Ali
CUST1086,CTR86,Corporate Tax,2025-05-31,2026-02-12,Monthly,11389,1627,Won,None,2026-01-17,Sara
CUST1087,CTR87,Bookkeeping,2025-03-08,2026-04-07,Quarterly,49420,3530,Cancelled,None,2026-01-22,Rohit
CUST1088,CTR88,VAT,2025-08-24,2027-03-12,Monthly,64965,4331,Cancelled,None,2025-11-05,Mehul
CUST1089,CTR89,Bookkeeping,2025-10-25,2027-04-22,Annual,26145,3735,Won,None,2025-12-21,Rohit
CUST1090,CTR90,Bookkeeping,2025-04-26,2027-08-19,Monthly,46760,4676,Won,Downgrade,2025-11-21,Rohit
CUST1091,CTR91,Bookkeeping,2024-11-14,2026-10-20,Monthly,12964,926,Won,None,2026-01-08,Rohit
CUST1092,CTR92,Bookkeeping,2024-10-15,2027-03-12,Annual,55678,3977,Won,None,2025-11-13,Rohit
CUST1093,CTR93,Corporate Tax,2025-07-05,2026-11-08,Quarterly,50128,3856,Won,None,2025-12-14,Sara
CUST1094,CTR94,Bookkeeping,2025-07-20,2026-01-22,Annual,8418,1403,Won,None,2026-01-06,Mehul
CUST1095,CTR95,Bookkeeping,2025-10-04,2026-04-04,Monthly,25494,4249,Won,None,2025-11-02,Sara
CUST1096,CTR96,Bookkeeping,2024-07-21,2026-10-01,Monthly,69244,4946,Won,None,2025-12-26,Mehul
CUST1097,CTR97,Corporate Tax,2025-11-25,2027-05-21,Monthly,69328,4333,Won,Upgrade,2025-11-25,Rohit
CUST1098,CTR98,Bookkeeping,2025-08-30,2027-07-18,Annual,54171,4167,Won,None,2025-12-13,Ali
CUST1099,CTR99,Bookkeeping,2024-10-09,2026-01-05,Monthly,62520,4168,Won,None,2026-01-08,Sara
CUST1100,CTR100,Corporate Tax,2025-07-14,2027-05-30,Monthly,64358,4597,Won,Downgrade,2026-01-13,Ali
CUST1101,CTR101,Corporate Tax,2025-05-28,2025-12-08,Monthly,31104,2592,Cancelled,Upgrade,2025-10-24,Sara
CUST1102,CTR102,Corporate Tax,2025-11-06,2026-11-12,Monthly,29288,3661,Won,Downgrade,2025-12-03,Rohit
CUST1103,CTR103,Bookkeeping,2024-09-14,2026-12-03,Monthly,34208,4276,Won,None,2025-12-24,Sara
CUST1104,CTR104,Corporate Tax,2024-10-04,2026-07-30,Monthly,29519,4217,Won,None,2025-11-19,Rohit
CUST1105,CTR105,Corporate Tax,2025-01-07,2025-08-02,Monthly,24450,2445,Won,None,2025-11-04,Sara
CUST1106,CTR106,Bookkeeping,2026-01-02,2028-06-13,Quarterly,34085,2005,Won,None,2026-01-14,Rohit
CUST1107,CTR107,Corporate Tax,2024-12-12,2025-07-18,Annual,65110,3830,Won,Downgrade,2026-01-13,Rohit
CUST1108,CTR108,Bookkeeping,2025-01-20,2026-04-17,Monthly,29376,3672,Won,None,2025-12-27,Mehul
CUST1109,CTR109,VAT,2025-06-27,2026-08-11,Monthly,42592,3872,Won,None,2025-11-19,Rohit
CUST1110,CTR110,Corporate Tax,2024-08-16,2025-05-08,Quarterly,18578,2654,Cancelled,Downgrade,2025-10-27,Mehul
CUST1111,CTR111,VAT,2025-06-26,2027-04-10,Monthly,81957,4821,Won,Downgrade,2025-12-08,Rohit
CUST1112,CTR112,Bookkeeping,2024-08-13,2025-06-14,Monthly,28064,3508,Won,Upgrade,2025-10-10,Ali
CUST1113,CTR113,Corporate Tax,2024-12-30,2026-12-16,Monthly,43020,4302,Cancelled,None,2025-11-24,Rohit
CUST1114,CTR114,Bookkeeping,2024-11-20,2025-10-10,Monthly,36244,2132,Won,None,2025-12-16,Ali
CUST1115,CTR115,VAT,2025-09-08,2027-08-13,Quarterly,16016,1001,Cancelled,None,2025-12-14,Ali
CUST1116,CTR116,Bookkeeping,2025-08-22,2026-09-17,Monthly,68912,4307,Won,None,2025-10-25,Rohit
CUST1117,CTR117,Corporate Tax,2025-11-06,2026-05-29,Quarterly,8244,1374,Won,None,2025-10-16,Ali
CUST1118,CTR118,Corporate Tax,2024-06-26,2026-07-25,Monthly,8016,1336,Won,None,2025-10-26,Mehul
CUST1119,CTR119,VAT,2025-07-14,2027-02-07,Monthly,36375,2425,Won,None,2025-12-30,Sara
CUST1120,CTR120,Bookkeeping,2025-08-07,2026-04-10,Monthly,40908,2922,Won,Downgrade,2025-10-05,Rohit
CUST1121,CTR121,Corporate Tax,2025-10-15,2026-12-01,Monthly,14220,1185,Won,Upgrade,2026-01-11,Ali
CUST1122,CTR122,VAT,2025-06-04,2026-03-19,Quarterly,24486,4081,Won,None,2025-11-12,Rohit
CUST1123,CTR123,Corporate Tax,2025-06-14,2026-05-05,Monthly,21658,1274,Won,Upgrade,2026-01-10,Mehul
CUST1124,CTR124,Corporate Tax,2025-05-19,2026-03-05,Monthly,15821,1217,Won,None,2025-12-15,Rohit
CUST1125,CTR125,Bookkeeping,2025-05-21,2026-07-02,Quarterly,35200,4400,Cancelled,None,2025-12-26,Rohit
CUST1126,CTR126,Corporate Tax,2024-07-20,2025-05-06,Monthly,22802,1754,Cancelled,Upgrade,2026-01-17,Ali
CUST1127,CTR127,Bookkeeping,2024-10-19,2026-07-30,Monthly,20050,2005,Cancelled,Upgrade,2025-12-28,Mehul
CUST1128,CTR128,Corporate Tax,2024-11-27,2025-06-28,Monthly,29520,4920,Won,None,2025-11-01,Sara
CUST1129,CTR129,VAT,2025-11-17,2028-01-28,Monthly,33480,2790,Won,None,2025-11-22,Sara
CUST1130,CTR130,Corporate Tax,2025-05-15,2026-11-14,Annual,43720,4372,Won,None,2025-12-31,Ali
CUST1131,CTR131,Bookkeeping,2025-03-04,2027-04-17,Monthly,54538,4958,Won,None,2026-01-21,Rohit
CUST1132,CTR132,Bookkeeping,2024-07-26,2026-07-29,Monthly,38643,3513,Won,Upgrade,2026-01-22,Ali
CUST1133,CTR133,VAT,2025-08-13,2027-04-09,Monthly,39039,3003,Won,Upgrade,2025-11-20,Ali
CUST1134,CTR134,Corporate Tax,2024-11-14,2027-01-15,Quarterly,54880,3920,Won,None,2025-11-15,Ali
CUST1135,CTR135,Corporate Tax,2024-08-08,2026-07-06,Monthly,12362,1766,Won,None,2025-11-16,Rohit
CUST1136,CTR136,VAT,2024-12-26,2027-05-16,Monthly,59248,4232,Won,Upgrade,2025-12-06,Mehul
CUST1137,CTR137,Corporate Tax,2024-06-16,2025-09-20,Annual,25296,1488,Won,None,2026-01-07,Ali
CUST1138,CTR138,Corporate Tax,2025-04-19,2026-08-31,Quarterly,72016,4501,Won,None,2026-01-30,Rohit
CUST1139,CTR139,Bookkeeping,2024-09-19,2026-06-03,Annual,17115,1141,Cancelled,None,2025-11-29,Mehul
CUST1140,CTR140,Corporate Tax,2025-12-22,2027-04-30,Monthly,35336,2524,Won,None,2025-12-28,Ali
CUST1141,CTR141,Corporate Tax,2025-02-07,2026-08-17,Monthly,38880,2592,Won,None,2026-01-25,Sara
CUST1142,CTR142,VAT,2025-01-10,2026-04-23,Monthly,38385,2559,Won,None,2025-11-08,Mehul
CUST1143,CTR143,VAT,2024-11-21,2026-07-30,Monthly,48144,4012,Won,None,2026-01-14,Ali
CUST1144,CTR144,Bookkeeping,2024-12-26,2027-04-16,Monthly,10734,1789,Won,Upgrade,2025-11-26,Mehul
CUST1145,CTR145,Corporate Tax,2025-12-26,2027-03-27,Quarterly,36744,3062,Won,Upgrade,2025-12-21,Mehul
CUST1146,CTR146,Corporate Tax,2025-09-03,2028-02-09,Monthly,49230,3282,Won,None,2025-10-06,Mehul
CUST1147,CTR147,Corporate Tax,2025-01-20,2027-02-20,Annual,17510,1751,Won,None,2025-12-24,Mehul
CUST1148,CTR148,Bookkeeping,2025-10-05,2027-08-18,Monthly,16742,1522,Won,Downgrade,2025-12-22,Mehul
CUST1149,CTR149,Bookkeeping,2025-02-21,2027-05-05,Quarterly,62835,4189,Won,None,2025-10-11,Mehul
CUST1150,CTR150,VAT,2025-07-09,2027-06-04,Monthly,34548,2879,Cancelled,None,2025-11-18,Ali
CUST1151,CTR151,Bookkeeping,2024-07-12,2025-12-23,Monthly,35170,3517,Won,Upgrade,2025-10-21,Sara
CUST1152,CTR152,Corporate Tax,2025-11-23,2027-08-10,Quarterly,37584,3132,Won,None,2026-01-08,Rohit
CUST1153,CTR153,Corporate Tax,2024-08-19,2026-01-30,Monthly,58464,4176,Cancelled,None,2025-12-03,Mehul
CUST1154,CTR154,Bookkeeping,2025-08-11,2027-10-06,Monthly,18400,2300,Won,None,2025-12-17,Rohit
CUST1155,CTR155,Corporate Tax,2025-06-16,2027-10-07,Annual,14105,1085,Won,Downgrade,2026-01-13,Ali
CUST1156,CTR156,Corporate Tax,2024-09-29,2025-08-11,Quarterly,30065,4295,Won,None,2025-11-25,Mehul
CUST1157,CTR157,Bookkeeping,2024-06-24,2025-08-20,Monthly,45840,2865,Won,None,2025-11-03,Sara
CUST1158,CTR158,Bookkeeping,2024-07-05,2026-06-27,Monthly,18816,1568,Cancelled,None,2025-10-22,Rohit
CUST1159,CTR159,Corporate Tax,2025-04-25,2025-11-30,Monthly,26999,3857,Won,None,2025-12-21,Mehul
CUST1160,CTR160,Corporate Tax,2024-12-09,2026-01-21,Quarterly,26649,2961,Cancelled,None,2025-12-31,Ali
CUST1161,CTR161,Corporate Tax,2025-04-22,2027-04-19,Monthly,49116,4093,Won,None,2025-12-24,Sara
CUST1162,CTR162,VAT,2024-10-10,2025-11-16,Monthly,13968,1746,Won,None,2025-10-15,Rohit
CUST1163,CTR163,VAT,2025-12-24,2026-06-27,Monthly,28945,4135,Won,None,2025-10-14,Rohit
CUST1164,CTR164,VAT,2025-05-06,2026-09-19,Monthly,79200,4950,Won,Upgrade,2025-12-27,Mehul
CUST1165,CTR165,Bookkeeping,2025-04-27,2027-02-03,Quarterly,34215,2281,Won,None,2025-10-20,Sara
CUST1166,CTR166,VAT,2025-12-29,2026-09-09,Monthly,32412,2701,Cancelled,None,2025-10-23,Sara
CUST1167,CTR167,Bookkeeping,2025-09-06,2026-03-08,Annual,25506,4251,Won,None,2025-10-27,Sara
CUST1168,CTR168,Bookkeeping,2024-12-25,2027-03-30,Monthly,63232,4864,Cancelled,Downgrade,2025-12-27,Sara
CUST1169,CTR169,VAT,2025-10-30,2026-08-23,Monthly,6832,854,Won,None,2026-01-29,Ali
CUST1170,CTR170,VAT,2025-08-10,2027-10-04,Monthly,44591,2623,Cancelled,None,2025-11-20,Sara
CUST1171,CTR171,VAT,2025-05-24,2027-04-07,Monthly,72454,4262,Won,None,2026-01-24,Rohit
CUST1172,CTR172,Corporate Tax,2025-05-09,2027-06-01,Annual,27153,3879,Won,Upgrade,2025-10-27,Rohit
CUST1173,CTR173,VAT,2025-07-10,2027-03-22,Quarterly,13056,1632,Won,None,2025-11-23,Ali
CUST1174,CTR174,Corporate Tax,2025-03-27,2026-04-04,Monthly,36060,3606,Won,None,2025-12-22,Rohit
CUST1175,CTR175,Bookkeeping,2025-11-01,2028-04-13,Quarterly,52640,3290,Won,Upgrade,2025-10-21,Rohit
CUST1176,CTR176,Corporate Tax,2025-05-31,2026-12-23,Monthly,14651,1127,Won,None,2025-11-25,Sara
CUST1177,CTR177,VAT,2024-09-29,2025-04-22,Quarterly,61650,4110,Won,None,2026-01-19,Rohit
CUST1178,CTR178,Bookkeeping,2025-09-20,2027-05-27,Monthly,49200,4100,Cancelled,None,2025-12-14,Ali
CUST1179,CTR179,Bookkeeping,2025-09-26,2026-09-13,Monthly,53700,4475,Won,None,2025-12-03,Sara
CUST1180,CTR180,Bookkeeping,2024-08-10,2025-12-02,Monthly,65518,3854,Won,None,2026-01-30,Mehul
CUST1181,CTR181,Corporate Tax,2024-12-14,2027-03-18,Monthly,35316,2943,Won,None,2025-12-03,Sara
CUST1182,CTR182,VAT,2024-11-24,2026-04-13,Monthly,27443,2111,Won,None,2026-01-27,Ali
CUST1183,CTR183,Bookkeeping,2024-08-03,2026-03-15,Monthly,23946,3991,Won,None,2025-12-19,Sara
CUST1184,CTR184,Bookkeeping,2024-09-14,2025-07-08,Monthly,30042,3338,Won,None,2026-01-05,Sara
CUST1185,CTR185,Bookkeeping,2024-10-23,2025-12-01,Monthly,52613,4783,Won,None,2025-12-31,Ali
CUST1186,CTR186,Corporate Tax,2025-12-11,2027-11-22,Annual,13496,964,Won,None,2026-01-11,Sara
CUST1187,CTR187,Corporate Tax,2024-06-17,2025-04-05,Monthly,11354,1622,Won,None,2026-01-24,Ali
CUST1188,CTR188,VAT,2024-10-02,2025-08-17,Monthly,10458,1743,Won,None,2025-10-22,Ali
CUST1189,CTR189,Corporate Tax,2025-10-12,2027-10-20,Quarterly,23610,1574,Won,None,2025-11-21,Mehul
CUST1190,CTR190,Bookkeeping,2025-08-11,2026-02-07,Quarterly,50966,2998,Won,None,2025-12-13,Rohit
CUST1191,CTR191,VAT,2025-10-10,2026-07-06,Monthly,27692,3956,Won,Upgrade,2025-11-26,Rohit
CUST1192,CTR192,Bookkeeping,2025-10-17,2028-01-28,Monthly,53940,4495,Won,None,2025-10-06,Sara
CUST1193,CTR193,Bookkeeping,2024-10-03,2026-02-14,Quarterly,34016,4252,Won,Upgrade,2025-12-19,Sara
CUST1194,CTR194,Corporate Tax,2026-01-02,2028-01-01,Monthly,25710,1714,Won,None,2025-12-05,Mehul
CUST1195,CTR195,VAT,2025-11-13,2026-09-27,Annual,14756,2108,Won,None,2026-01-29,Mehul
CUST1196,CTR196,Corporate Tax,2024-10-14,2026-09-04,Annual,79632,4977,Won,None,2025-11-07,Mehul
CUST1197,CTR197,Corporate Tax,2024-10-11,2025-12-23,Monthly,15756,1313,Won,None,2025-11-23,Ali
CUST1198,CTR198,VAT,2024-09-02,2027-01-02,Monthly,19040,2720,Won,None,2026-01-30,Mehul
CUST1199,CTR199,Bookkeeping,2025-11-30,2028-04-17,Annual,35152,4394,Won,None,2025-11-06,Mehul
CUST1200,CTR200,Bookkeeping,2025-01-20,2025-07-28,Monthly,35344,2209,Won,Downgrade,2025-12-19,Sara
CUST1201,CTR201,VAT,2025-09-30,2026-12-14,Monthly,47880,3990,Cancelled,None,2026-01-30,Mehul
CUST1202,CTR202,Bookkeeping,2025-10-23,2028-01-30,Quarterly,21195,2355,Won,Downgrade,2025-10-22,Ali
CUST1203,CTR203,VAT,2024-07-01,2025-06-17,Quarterly,9624,1604,Won,Upgrade,2025-11-12,Ali
CUST1204,CTR204,VAT,2025-08-02,2026-02-10,Annual,20790,2079,Won,None,2025-12-28,Sara
CUST1205,CTR205,Corporate Tax,2025-04-28,2026-04-10,Annual,74409,4377,Won,None,2025-10-26,Mehul
CUST1206,CTR206,VAT,2024-10-22,2027-01-21,Annual,51814,3701,Won,None,2025-11-06,Mehul
CUST1207,CTR207,Corporate Tax,2025-09-07,2027-10-22,Quarterly,28431,2187,Cancelled,None,2026-01-02,Ali
CUST1208,CTR208,Bookkeeping,2025-03-03,2026-07-16,Quarterly,60537,3561,Won,None,2025-10-08,Mehul
CUST1209,CTR209,Bookkeeping,2025-04-10,2026-08-21,Quarterly,48706,3479,Won,None,2026-01-24,Mehul
CUST1210,CTR210,Bookkeeping,2025-11-10,2028-01-11,Monthly,43590,2906,Won,None,2026-01-10,Mehul
CUST1211,CTR211,Bookkeeping,2025-05-12,2026-10-02,Monthly,49952,3568,Won,None,2025-12-19,Rohit
CUST1212,CTR212,Corporate Tax,2024-12-10,2026-12-09,Quarterly,57036,4753,Won,Upgrade,2025-12-05,Sara
CUST1213,CTR213,Bookkeeping,2024-11-28,2026-07-19,Quarterly,35874,3986,Won,None,2025-12-27,Rohit
CUST1214,CTR214,VAT,2025-03-06,2027-04-30,Quarterly,40800,4080,Won,None,2025-11-24,Sara
CUST1215,CTR215,VAT,2025-06-10,2026-03-11,Quarterly,20238,3373,Won,None,2025-11-16,Ali
CUST1216,CTR216,VAT,2025-05-19,2027-06-18,Quarterly,20394,3399,Won,None,2025-10-31,Mehul
CUST1217,CTR217,Corporate Tax,2025-10-20,2027-03-01,Monthly,38664,4833,Won,None,2026-01-01,Sara
CUST1218,CTR218,Bookkeeping,2024-10-25,2025-12-14,Monthly,13468,1036,Won,None,2025-12-16,Rohit
CUST1219,CTR219,Bookkeeping,2025-09-22,2027-02-17,Monthly,14728,2104,Won,None,2025-12-08,Mehul
